hwID,utcTime,sourceID,bucketCamera,d2Dmode,LED1,LED2,rearCamera,leftCamera,rightCamera,comments,statusCalc,lastRevisionDate,lastRevisionBy,alarmRateMTDL,alarmRateLSM,totalLogsMTDL,totalLogsLSM,totalCycles,Is2D,totalLogsFM,totalLogsWM,stereoCamera,lcsStatus,hasLCS,LEDLights,faultyLED,hwStatusMC,hwStatusNonMC,MainStatusMC,MainStatusNonMC,customerDiagnostic
4210,"Mon, 22 Apr 2024 12:43:04 GMT",SIS 055-0200_9600-2,1,FALSE,0,5,0,0,0,Bucket camera to be cleaned.LED alignment needed.,AVERAGE,Mon Apr 22 2024 14:43:04 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,793,775,793,NULL,541,597,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
4805,"Thu, 25 Apr 2024 21:23:55 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Pavan Bains][Thu, 25 Apr 2024 21:23:13 GMT] - High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Thu Apr 25 2024 14:23:55 GMT-0700 (Pacific Daylight Time),Pavan Bains,0%,7.41%,161,54,900,NULL,N/A,9,,1,FALSE,,,GOOD,GOOD,AVERAGE,,
4806,"Thu, 25 Apr 2024 21:23:55 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Pavan Bains][Thu, 25 Apr 2024 21:23:13 GMT] - High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Thu Apr 25 2024 14:23:55 GMT-0700 (Pacific Daylight Time),Pavan Bains,0%,7.41%,161,54,900,NULL,N/A,9,,1,FALSE,,,GOOD,GOOD,AVERAGE,,
4951,"Fri, 26 Apr 2024 21:13:18 GMT",KEV FS201,1,FALSE,0,0,0,0,0,"[Yerbol Zhumanazar][Thu, 25 Apr 2024 20:57:34 GMT] Camera is slightly dirty",AVERAGE,Fri Apr 26 2024 14:13:18 GMT-0700 (Pacific Daylight Time),Jose Oliva,0%,0.54%,431,369,370,NULL,146,177,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
4962,"Fri, 26 Apr 2024 21:27:09 GMT",KEV FS201,1,FALSE,0,0,0,0,0,"[Yerbol Zhumanazar][Fri, 26 Apr 2024 21:27:08 GMT] +",AVERAGE,Sat Apr 27 2024 02:27:09 GMT+0500 (Ð—Ð°Ð¿Ð°Ð´Ð½Ñ‹Ð¹ ÐšÐ°Ð·Ð°Ñ…ÑÑ‚Ð°Ð½),Yerbol Zhumanazar,0%,0.56%,414,356,358,NULL,139,171,,1,TRUE,,,GOOD,GOOD,AVERAGE,,
5058,"Mon, 29 Apr 2024 08:55:01 GMT",SIS 054-0800_996_Gen3,1,FALSE,0,0,1,1,1,Bucket camera and surveillance cameras needs cleaning.,WRONG,Mon Apr 29 2024 10:55:01 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,65,53,951,NULL,14,8,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
5085,"Mon, 29 Apr 2024 12:08:33 GMT",KEV FS201,1,FALSE,0,0,0,0,0,"[Yerbol Zhumanazar][Mon, 29 Apr 2024 12:08:32 GMT] +",AVERAGE,Mon Apr 29 2024 17:08:33 GMT+0500 (Ð—Ð°Ð¿Ð°Ð´Ð½Ñ‹Ð¹ ÐšÐ°Ð·Ð°Ñ…ÑÑ‚Ð°Ð½),Yerbol Zhumanazar,0.08%,0%,1177,988,1020,NULL,454,,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
5144,"Mon, 29 Apr 2024 18:12:36 GMT",KEV FS201,1,FALSE,0,0,0,0,0,"[Yerbol Zhumanazar][Mon, 29 Apr 2024 12:08:32 GMT] +",AVERAGE,Mon Apr 29 2024 11:12:36 GMT-0700 (Pacific Daylight Time),Pavan Bains,0.10%,0%,1046,888,898,NULL,417,476,,1,TRUE,,,GOOD,GOOD,AVERAGE,,
5255,"Mon, 29 Apr 2024 21:12:30 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Pavan Bains][Mon, 29 Apr 2024 21:12:09 GMT]  - High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Mon Apr 29 2024 14:12:30 GMT-0700 (Pacific Daylight Time),Pavan Bains,0%,13.11%,773,206,975,NULL,N/A,17,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
5256,"Mon, 29 Apr 2024 21:12:30 GMT",Horizon SH1208,3,FALSE,3,0,0,0,0,"[Pavan Bains][Mon, 29 Apr 2024 21:12:09 GMT]  - High false positive due to LED misalignment and dirty color camera, site has been asked for cleaning and adjustment.",WRONG,Mon Apr 29 2024 14:12:30 GMT-0700 (Pacific Daylight Time),Pavan Bains,0%,13.11%,773,206,975,NULL,N/A,17,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
